movie_id,Title,Year,ParentalGuide,Runtime,gross_us_canada
0111161,The Shawshank Redemption,1994,R,142,28767189
0068646,The Godfather,1972,R,175,136381073
0468569,The Dark Knight,2008,PG-13,152,534987076
0071562,The Godfather Part II,1974,R,202,47834595
0050083,12 Angry Men,1957,Approved,96,
0108052,Schindler's List,1993,R,195,96898818
0167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,379427292
0110912,Pulp Fiction,1994,R,154,107928762
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,316115420
0060196,"The Good, the Bad and the Ugly",1966,Approved,178,25100000
0109830,Forrest Gump,1994,PG-13,142,330455270
0137523,Fight Club,1999,R,139,37030102
0167261,The Lord of the Rings: The Two Towers,2002,PG-13,179,342952511
1375666,Inception,2010,PG-13,148,292587330
0080684,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,292753960
0133093,The Matrix,1999,R,136,172076928
0099685,Goodfellas,1990,R,145,46909721
0073486,One Flew Over the Cuckoo's Nest,1975,R,133,108981275
0114369,Se7en,1995,R,127,100125643
0038650,It's a Wonderful Life,1946,PG,130,1483643
0047478,Seven Samurai,1954,Unrated,207,318649
0102926,The Silence of the Lambs,1991,R,118,130742922
0120815,Saving Private Ryan,1998,R,169,217049603
0317248,City of God,2002,R,130,7564459
0816692,Interstellar,2014,PG-13,169,188020017
0118799,Life Is Beautiful,1997,PG-13,116,57563264
0120689,The Green Mile,1999,R,189,136801374
0076759,Star Wars: Episode IV - A New Hope,1977,PG,121,460998507
0103064,Terminator 2: Judgment Day,1991,R,137,205881154
0088763,Back to the Future,1985,PG,116,212836762
0245429,Spirited Away,2001,PG,125,15205725
0253474,The Pianist,2002,R,150,32572577
0054215,Psycho,1960,R,109,32000000
6751668,Parasite,2019,R,132,53369749
0110413,Léon: The Professional,1994,R,110,19501238
0172495,Gladiator,2000,R,155,187705427
0110357,The Lion King,1994,G,88,422783777
0120586,American History X,1998,R,119,6719864
0407887,The Departed,2006,R,151,132399394
2582802,Whiplash,2014,R,106,13092000
0482571,The Prestige,2006,PG-13,130,53089891
0114814,The Usual Suspects,1995,R,106,23341568
0034583,Casablanca,1942,PG,102,4219709
0095327,Grave of the Fireflies,1988,Unrated,89,516962
0056058,Harakiri,1962,Unrated,133,
1675434,The Intouchables,2011,R,112,10198820
0027977,Modern Times,1936,G,87,163577
0064116,Once Upon a Time in the West,1968,PG-13,165,5321508
