movie_id,Title,Year,ParentalGuide,Runtime,gross_us_canada,Star
0111161,The Shawshank Redemption,1994,R,142,28767189,Tim Robbins
0111161,The Shawshank Redemption,1994,R,142,28767189,Morgan Freeman
0111161,The Shawshank Redemption,1994,R,142,28767189,Bob Gunton
0068646,The Godfather,1972,R,175,136381073,Marlon Brando
0068646,The Godfather,1972,R,175,136381073,Al Pacino
0068646,The Godfather,1972,R,175,136381073,James Caan
0468569,The Dark Knight,2008,PG-13,152,534987076,Christian Bale
0468569,The Dark Knight,2008,PG-13,152,534987076,Heath Ledger
0468569,The Dark Knight,2008,PG-13,152,534987076,Aaron Eckhart
0071562,The Godfather Part II,1974,R,202,47834595,Al Pacino
0071562,The Godfather Part II,1974,R,202,47834595,Robert De Niro
0071562,The Godfather Part II,1974,R,202,47834595,Robert Duvall
0050083,12 Angry Men,1957,Approved,96,,Henry Fonda
0050083,12 Angry Men,1957,Approved,96,,Lee J. Cobb
0050083,12 Angry Men,1957,Approved,96,,Martin Balsam
0108052,Schindler's List,1993,R,195,96898818,Liam Neeson
0108052,Schindler's List,1993,R,195,96898818,Ralph Fiennes
0108052,Schindler's List,1993,R,195,96898818,Ben Kingsley
0167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,379427292,Elijah Wood
0167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,379427292,Viggo Mortensen
0167260,The Lord of the Rings: The Return of the King,2003,PG-13,201,379427292,Ian McKellen
0110912,Pulp Fiction,1994,R,154,107928762,John Travolta
0110912,Pulp Fiction,1994,R,154,107928762,Uma Thurman
0110912,Pulp Fiction,1994,R,154,107928762,Samuel L. Jackson
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,316115420,Elijah Wood
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,316115420,Ian McKellen
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,316115420,Orlando Bloom
0060196,"The Good, the Bad and the Ugly",1966,Approved,178,25100000,Clint Eastwood
0060196,"The Good, the Bad and the Ugly",1966,Approved,178,25100000,Eli Wallach
0060196,"The Good, the Bad and the Ugly",1966,Approved,178,25100000,Lee Van Cleef
0109830,Forrest Gump,1994,PG-13,142,330455270,Tom Hanks
0109830,Forrest Gump,1994,PG-13,142,330455270,Robin Wright
0109830,Forrest Gump,1994,PG-13,142,330455270,Gary Sinise
0137523,Fight Club,1999,R,139,37030102,Brad Pitt
0137523,Fight Club,1999,R,139,37030102,Edward Norton
0137523,Fight Club,1999,R,139,37030102,Meat Loaf
0167261,The Lord of the Rings: The Two Towers,2002,PG-13,179,342952511,Elijah Wood
0167261,The Lord of the Rings: The Two Towers,2002,PG-13,179,342952511,Ian McKellen
0167261,The Lord of the Rings: The Two Towers,2002,PG-13,179,342952511,Viggo Mortensen
1375666,Inception,2010,PG-13,148,292587330,Leonardo DiCaprio
1375666,Inception,2010,PG-13,148,292587330,Joseph Gordon-Levitt
1375666,Inception,2010,PG-13,148,292587330,Elliot Page
0080684,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,292753960,Mark Hamill
0080684,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,292753960,Harrison Ford
0080684,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,292753960,Carrie Fisher
0133093,The Matrix,1999,R,136,172076928,Keanu Reeves
0133093,The Matrix,1999,R,136,172076928,Laurence Fishburne
0133093,The Matrix,1999,R,136,172076928,Carrie-Anne Moss
0099685,Goodfellas,1990,R,145,46909721,Robert De Niro
0099685,Goodfellas,1990,R,145,46909721,Ray Liotta
0099685,Goodfellas,1990,R,145,46909721,Joe Pesci
0073486,One Flew Over the Cuckoo's Nest,1975,R,133,108981275,Jack Nicholson
0073486,One Flew Over the Cuckoo's Nest,1975,R,133,108981275,Louise Fletcher
0073486,One Flew Over the Cuckoo's Nest,1975,R,133,108981275,Michael Berryman
0114369,Se7en,1995,R,127,100125643,Morgan Freeman
0114369,Se7en,1995,R,127,100125643,Brad Pitt
0114369,Se7en,1995,R,127,100125643,Kevin Spacey
0038650,It's a Wonderful Life,1946,PG,130,1483643,James Stewart
0038650,It's a Wonderful Life,1946,PG,130,1483643,Donna Reed
0038650,It's a Wonderful Life,1946,PG,130,1483643,Lionel Barrymore
0047478,Seven Samurai,1954,Unrated,207,318649,Toshirô Mifune
0047478,Seven Samurai,1954,Unrated,207,318649,Takashi Shimura
0047478,Seven Samurai,1954,Unrated,207,318649,Keiko Tsushima
0102926,The Silence of the Lambs,1991,R,118,130742922,Jodie Foster
